Season,Title,AirDate,Rating,Num_Votes,DirectedBy,WrittenBy
7,The Search,03/02/2011,8.5,2065,Michael Spiller,Brent Forrester
7,PDA,10/02/2011,8.4,2048,Greg Daniels,Robert Padnick
7,Threat Level Midnight,17/02/2011,9.4,4236,Tucker Gates,B. J. Novak
7,Todd Packer,24/02/2011,7.5,1872,Randall Einhorn,Amelie Gillette
7,Garage Sale,24/03/2011,9.3,3216,Steve Carell,Jon Vitti
7,Training Day,14/04/2011,7.8,1950,Paul Lieberstein,Daniel Chun
7,Michael's Last Dundies,21/04/2011,9,2598,Mindy Kaling,Mindy Kaling
7,"Goodbye, Michael",28/04/2011,9.8,6909,Paul Feig,Greg Daniels
7,The Inner Circle,05/05/2011,7.7,1918,Matt Sohn,Charlie Grandy
7,"Dwight K. Schrute, (Acting) Manager",12/05/2011,8.7,2134,Troy Miller,Justin Spitzer
7,Search Committee,19/05/2011,8.8,2344,Jeffrey Blitz,Paul Lieberstein
8,The List,22/09/2011,8.2,2102,B. J. Novak,B. J. Novak
8,The Incentive,29/09/2011,8.1,1943,Charles McDougall,Paul Lieberstein
8,Lotto,06/10/2011,7.3,1858,John Krasinski,Charlie Grandy
8,Garden Party,13/10/2011,8.1,1993,David Rogers,Justin Spitzer
8,Spooked,27/10/2011,7.6,1797,Randall Einhorn,Carrie Kemper
8,Doomsday,03/11/2011,7.7,1718,Troy Miller,Daniel Chun
8,Pam's Replacement,10/11/2011,7.7,1833,Matt Sohn,Allison Silverman
8,Gettysburg,17/11/2011,6.9,1850,Jeffrey Blitz,Robert Padnick
8,Mrs. California,01/12/2011,7.7,1812,Charlie Grandy,Dan Greaney
8,Christmas Wishes,08/12/2011,8,1795,Ed Helms,Mindy Kaling
8,Trivia,12/01/2012,7.9,1742,B. J. Novak,Steve Hely
8,Pool Party,19/01/2012,8,1887,Charles McDougall,Owen Ellickson
8,Jury Duty,02/02/2012,7.5,1717,Eric Appel,Aaron Shure
8,Special Project,09/02/2012,7.7,1671,David Rogers,Amelie Gillette
8,Tallahassee,16/02/2012,7.8,1774,Matt Sohn,Daniel Chun
8,After Hours,23/02/2012,8.1,1828,Brian Baumgartner,Halsted Sullivan | Warren Lieberstein
8,Test the Store,01/03/2012,7.8,1721,Brent Forrester,Mindy Kaling
8,Last Day in Florida,08/03/2012,7.8,1681,Matt Sohn,Robert Padnick
8,Get the Girl,15/03/2012,6.6,1944,Rainn Wilson,Charlie Grandy
8,Welcome Party,12/04/2012,7.1,1739,Ed Helms,Steve Hely
8,Angry Andy,19/04/2012,7.1,1857,Claire Scanlon,Justin Spitzer
8,Fundraiser,26/04/2012,7.1,1694,David Rogers,Owen Ellickson
8,Turf War,03/05/2012,7.6,1630,Daniel Chun,Warren Lieberstein | Halsted Sullivan
8,Free Family Portrait Studio,10/05/2012,7.7,1702,B. J. Novak,B. J. Novak
9,New Guys,20/09/2012,7.6,1837,Greg Daniels,Greg Daniels
9,Roy's Wedding,27/09/2012,7.2,1730,Matt Sohn,Allison Silverman
9,Andy's Ancestry,04/10/2012,7.4,1712,David Rogers,Jonathan Green | Gabe Miller
9,Work Bus,18/10/2012,7.8,1809,Bryan Cranston,Brent Forrester
9,Here Comes Treble,25/10/2012,7,1780,Claire Scanlon,Owen Ellickson
9,The Boat,08/11/2012,7.7,1720,John Krasinski,Dan Sterling
9,The Whale,15/11/2012,7.6,1652,Rodman Flender,Carrie Kemper
9,The Target,29/11/2012,7.8,1693,Brent Forrester,Graham Wagner
9,Dwight Christmas,06/12/2012,8.3,1918,Charles McDougall,Robert Padnick
9,Lice,10/01/2013,7.6,1720,Rodman Flender,Niki Schwartz-Wright
9,Suit Warehouse,17/01/2013,7.9,1697,Matt Sohn,Dan Greaney
9,Customer Loyalty,24/01/2013,8,1754,Kelly Cantley,Jonathan Green | Gabe Miller
9,Junior Salesman,31/01/2013,7.6,1644,David Rogers,Carrie Kemper
9,Vandalism,31/01/2013,7.5,1641,Lee Kirk,Owen Ellickson
9,Couples Discount,07/02/2013,7.3,1655,Troy Miller,Allison Silverman
9,Moving On,14/02/2013,8.1,1839,Jon Favreau,Graham Wagner
9,The Farm,14/03/2013,7.5,1931,Paul Lieberstein,Paul Lieberstein
9,Promos,04/04/2013,8,1691,Jennifer Celotta,Tim McAuliffe
9,Stairmageddon,11/04/2013,8,1743,Matt Sohn,Dan Sterling
9,Paper Airplane,25/04/2013,8,1748,Jesse Peretz,Halsted Sullivan | Warren Lieberstein
9,Livin' the Dream,02/05/2013,9,2439,Jeffrey Blitz,Niki Schwartz-Wright
9,A.A.R.M.,09/05/2013,9.5,3401,David Rogers,Brent Forrester
9,Finale,16/05/2013,9.8,9269,Ken Kwapis,Greg Daniels
